Animal ID,Description/Breed,Sex,Intake,Shelter County
A310156,REX-MINI/MIX,Spayed,OVER THE COUNTER,SoCo
A397776,DOMESTIC SH,Neutered,FIELD,SoCo
A335926,LABRADOR RETR/PIT BULL,Neutered,OVER THE COUNTER,SoCo
A330648,GERM SHEPHERD,Spayed,OVER THE COUNTER,SoCo
A372431,LABRADOR RETR,Neutered,FLD_ARREST,SoCo
A393378,DOMESTIC SH,Male,FIELD,SoCo
A393398,GERM SHEPHERD/MIX,Male,FIELD,SoCo
A329869,PIT BULL,Neutered,OVER THE COUNTER,SoCo
A393457,PIT BULL/MIX,Neutered,OVER THE COUNTER,SoCo
A391125,CHESA BAY RETR/MIX,Neutered,FIELD,SoCo
A395633,CHICKEN,Female,FIELD,SoCo
A295565,AUST SHEPHERD/WELSH CORGI PEM,Male,FIELD,SoCo
A392250,LABRADOR RETR,Male,FIELD,SoCo
A400481,MANX,Spayed,OVER THE COUNTER,SoCo
A397695,DOMESTIC MH,Spayed,FIELD,SoCo
A395796,PIT BULL/LABRADOR RETR,Spayed,FIELD,SoCo
A395764,PIT BULL,Male,FLD_ARREST,SoCo
A285149,CHIHUAHUA SH,Neutered,FIELD,SoCo
A391988,DOMESTIC SH,Neutered,OVER THE COUNTER,SoCo
A390325,GERM SHEPHERD,Female,OVER THE COUNTER,SoCo
A336587,PIT BULL/MIX,Spayed,FIELD,SoCo
A395762,MIN PINSCHER/MIX,Neutered,VET_HOSP,SoCo
A395440,PIT BULL/MIX,Neutered,FIELD,SoCo
A398266,PIT BULL,Female,FLD_ARREST,SoCo
A398064,MALTESE,Female,FIELD,SoCo
A385080,AIREDALE TERR,Neutered,FIELD,SoCo
A242054,CHIHUAHUA LH,Neutered,FIELD,SoCo
A395616,PAPILLON/PARSON RUSS TER,Neutered,OVER THE COUNTER,SoCo
A308888,DOMESTIC SH,Spayed,OVER THE COUNTER,SoCo
A328035,PIT BULL,Male,FIELD,SoCo
A340279,AUST SHEPHERD/GERM SHEPHERD,Spayed,FLD_ARREST,SoCo
A346263,ROTTWEILER/MIX,Male,OVER THE COUNTER,SoCo
A397635,BOSTON TERRIER,Female,FIELD,SoCo
A308517,BORDER COLLIE/MIX,Male,FIELD,SoCo
A397634,BORDER COLLIE/MIX,Spayed,FIELD,SoCo
A362780,YORKSHIRE TERR/MIX,Spayed,OVER THE COUNTER,SoCo
A367977,PIT BULL,Male,FIELD,SoCo
A342399,PUG/BEAGLE,Spayed,FIELD,SoCo
A382440,SIBERIAN HUSKY,Female,OVER THE COUNTER,SoCo
A398852,PIT BULL,Male,FLD_ARREST,SoCo
A396164,PIT BULL,Neutered,FLD_ARREST,SoCo
A376279,CHIHUAHUA SH,Female,FIELD,SoCo
A321697,CHIHUAHUA SH/MIX,Spayed,FIELD,SoCo
A396936,PIT BULL,Male,FLD_HOSPTL,SoCo
A398937,DOMESTIC SH,Spayed,FIELD,SoCo
A396103,SHIH TZU,Male,FIELD,SoCo
A329591,PIT BULL/MIX,Neutered,FIELD,SoCo
A376318,PIT BULL/TR WALKER HOUND,Male,FIELD,SoCo
A395074,DOMESTIC SH,Female,OVER THE COUNTER,SoCo
A393392,GERM SHEPHERD/PIT BULL,Male,FIELD,SoCo
A393395,SKUNK,Unknown,FLD_STRAY,SoCo
A339547,DOMESTIC SH,Neutered,OVER THE COUNTER,SoCo
A339512,DOMESTIC SH,Neutered,OVER THE COUNTER,SoCo
A392047,GERM SHEPHERD,Male,FIELD,SoCo
A393447,DOMESTIC SH,Female,OVER THE COUNTER,SoCo
A396743,PIT BULL,Female,OVER THE COUNTER,SoCo
A386202,OLD ENG BULLDOG/PIT BULL,Spayed,OVER THE COUNTER,SoCo
A396928,MALTESE,Female,FIELD,SoCo
A342399,PUG/BEAGLE,Spayed,FIELD,SoCo
A393928,PIT BULL,Female,FIELD,SoCo
A398853,PIT BULL,Male,FLD_ARREST,SoCo
A396933,PIT BULL,Neutered,OVER THE COUNTER,SoCo
A400455,PARAKEET,Male,FIELD,SoCo
A384789,PIT BULL/GERM SH POINT,Neutered,FIELD,SoCo
A304582,LOP-AMER FUZZY/MIX,Spayed,OVER THE COUNTER,SoCo
A400351,CHICKEN,Male,FIELD,SoCo
A311623,RABBIT SH,Neutered,VET_HOSP,SoCo
A367717,GERM WH POINT/MIX,Neutered,FIELD,SoCo
A342399,PUG/BEAGLE,Spayed,FIELD,SoCo
A312718,SIAMESE,Neutered,OVER THE COUNTER,SoCo
A360756,PUG,Neutered,OVER THE COUNTER,SoCo
A342432,CAIRN TERRIER/MIX,Neutered,FIELD,SoCo
A367977,PIT BULL,Male,FIELD,SoCo
A400570,DOMESTIC SH,Male,PHONE,SoCo
A382440,SIBERIAN HUSKY,Female,FIELD,SoCo
A395632,CHICKEN,Female,FIELD,SoCo
A038792,LABRADOR RETR,Spayed,FIELD,SoCo
A398767,POODLE MIN/MIX,Neutered,FIELD,SoCo
A395817,DOMESTIC SH,Male,FIELD,SoCo
A316338,PIT BULL,Spayed,OVER THE COUNTER,SoCo
A400352,CANARY,Unknown,FIELD,SoCo
A400565,OPOSSUM,Unknown,FIELD,SoCo
A398061,DOMESTIC SH,Unknown,FIELD,SoCo
A257535,AMER ESKIMO/POMERANIAN,Spayed,FIELD,SoCo
A388797,PIT BULL/MIX,Neutered,FIELD,SoCo
A398677,DOMESTIC SH,Neutered,FIELD,SoCo
A395105,CHIHUAHUA SH/TOY FOX TERRIER,Male,FIELD,SoCo
A394351,DOMESTIC SH,Neutered,OVER THE COUNTER,SoCo
A394369,SIBERIAN HUSKY/GERM SHEPHERD,Neutered,OVER THE COUNTER,SoCo
A396954,BAT,Unknown,FLD_STRAY,SoCo
A390346,PIT BULL/MIX,Spayed,FIELD,SoCo
A342086,GREAT DANE/MIX,Neutered,FIELD,SoCo
A391899,SIBERIAN HUSKY,Spayed,OVER THE COUNTER,SoCo
A365518,LABRADOR RETR,Neutered,FIELD,SoCo
A396854,DOMESTIC MH,Female,OVER THE COUNTER,SoCo
A368184,SHIH TZU,Spayed,VET_HOSP,SoCo
A393450,YORKSHIRE TERR,Neutered,OVER THE COUNTER,SoCo
A277759,COCKER SPAN/MIX,Spayed,FIELD,SoCo
A393493,AUST SHEPHERD/SIBERIAN HUSKY,Male,FIELD,SoCo
A396949,DOMESTIC LH,Neutered,OVER THE COUNTER,SoCo
A367802,POMERANIAN,Male,OVER THE COUNTER,SoCo
A391887,GERM SHEPHERD,Female,FIELD,SoCo
A394370,SIBERIAN HUSKY/GERM SHEPHERD,Spayed,OVER THE COUNTER,SoCo
A394354,YORKSHIRE TERR/MIX,Male,FIELD,SoCo
A393445,DOMESTIC LH,Neutered,OVER THE COUNTER,SoCo
A393434,CHIHUAHUA SH,Spayed,FLD_ARREST,SoCo
A393475,PIT BULL,Male,FIELD,SoCo
A391660,CHIHUAHUA SH,Female,FIELD,SoCo
A393494,OTHER BIRD,Unknown,OVER THE COUNTER,SoCo
A391869,GERM SHEPHERD/MIX,Neutered,FIELD,SoCo
A393405,GERM SHEPHERD,Male,FIELD,SoCo
A393406,GERM SHEPHERD,Female,FIELD,SoCo
A395573,PIT BULL,Neutered,VET_HOSP,SoCo
A396276,CHIHUAHUA SH,Spayed,FIELD,SoCo
A395185,PIT BULL,Neutered,FIELD,SoCo
A393527,SIBERIAN HUSKY,Female,FIELD,SoCo
